"","roots","detritus","bacteria","fungi","Bacterivore.nematodes","Fungivore.nematodes","Herbivore.nematodes","Omnivore.nematodes","Predator.nematodes","Edaphic.Entomobryomorpha","Edaphic.Neelipleona","Edaphic.Poduromorpha","Epigeic.Entomobryomorpha","Epigeic.Poduromorpha","Epigeic.Symphypleona","Mesostigmata","Oribatida","Pauropoda","Prostigmata","Protura","Symphyla","Araneae","Chilopoda","Coleoptera","Diplopoda","Gastropoda","Hemiptera","Isopoda","Thysanoptera","Diptera.larvae"
"roots",0,0,0,0,0,0,1,0.25,0,0.333333333333333,0.333333333333333,0,0.25,0,0.25,0,0,0.333333333333333,0.2,0,0.25,0,0,0.0454545454545455,0,0.1,1,0,0.5,0.1
"detritus",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.333333333333333,0.2,0.1,0.25,0,0,0.0454545454545455,0.75,0.3,0,0.333333333333333,0,0.18
"bacteria",0,0,0,0,1,0,0,0.25,0,0.333333333333333,0.333333333333333,0.5,0.25,0.333333333333333,0.25,0,0.25,0,0,0,0,0,0,0,0.125,0.3,0,0.333333333333333,0,0
"fungi",0,0,0,0,0,1,0,0.25,0,0.333333333333333,0.333333333333333,0.5,0.25,0.333333333333333,0.25,0,0.25,0.333333333333333,0.2,0.9,0,0,0,0.0454545454545455,0.125,0.3,0,0.333333333333333,0.5,0.18
"Bacterivore.nematodes",0,0,0,0,0,0,0,0.0400297577156222,0.213158533613534,0,0,0,0,0.027116484434701,0,0.0602930176169301,0.0325357537208231,0,0.0846958266638353,0,0.0858275707790207,0,0,0,0,0,0,0,0,0.0065143786018385
"Fungivore.nematodes",0,0,0,0,0,0,0,0.0311940101427764,0.199786318380725,0,0,0,0,0.0108276669165661,0,0.0549058068961418,0.0202377795185637,0,0.0995647136394951,0,0.0959968914951884,0,0,0,0,0,0,0,0,0.000310533741616992
"Herbivore.nematodes",0,0,0,0,0,0,0,0.0574857489441491,0.321790848943969,0,0,0,0,0.0328043924576456,0,0.107198140043801,0.0569335567576876,0,0.0427011910731782,0,0.115319761011594,0,0,0,0,0,0,0,0,0.00187112158886128
"Omnivore.nematodes",0,0,0,0,0,0,0,0.0484986202934261,0.0969244813213912,0,0,0,0,0.148309673637752,0,0.0325347550397524,0.0531621221845737,0,0.00604425525862791,0,0.0223802217609725,0,0,0,0,0,0,0,0,0.120216547534275
"Predator.nematodes",0,0,0,0,0,0,0,0.0727918629040262,0.168339817740382,0,0,0,0,0.114275115886669,0,0.0606106856367354,0.0871307878183519,0,0.0130382844360696,0,0.0458363959951281,0,0,0,0,0,0,0,0,0.043757784964074
"Edaphic.Entomobryomorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183968480793237,0,0,0.022962124489095,0,0.0134190221485142,0.000214529093488654,0.000769311225352496,0,0,0,0,0,0,0.000179215664392201
